,created_at,tweet,score,label
0,Tue May 09 06:57:43 +0000 2023,"Siapa yg bilang 2023 Indonesia resesi, ekonomi gelap, inflasi tinggi, malah perputaran ekonomi cepet bgt karena banyak konser/fanmeeting woi 😭",1,POSITIVE
1,Thu May 11 12:04:56 +0000 2023,"#Breaking: Bank of England menaikkan suku bunga bank sebesar 25bps menjadi 4,5% pada Mei 2023, menandai kenaikan suku bunga kedua belas berturut-turut, dan tidak lagi mengharapkan ekonomi Inggris memasuki resesi tahun ini. ✍️📈 https://t.co/lUVVZmTyWW",-1,NEGATIVE
2,Sun May 14 11:38:11 +0000 2023,"@PMIGU Mengekor di belakang Migu, Jeane datang membawa buah tangannya. Di tengah ketidakstabilan ekonomi dunia menuju 2023 resesi, ia berharap paman Kikuk tidak kena dampaknya jika memakai gelang seperti jimat dari dukun yang didatangi memet ini. https://t.co/ID2JPbuaOp",1,POSITIVE
3,Fri May 12 05:39:25 +0000 2023,"New video by One Heart One Mandiri: Wealth Talk Vol 2 Tahun 2023: Ekonomi AS Tertatih di Ambang Resesi, What To Do Now? https://t.co/lS4Fbyvnvn",-1,NEGATIVE
4,Fri May 12 16:00:02 +0000 2023,"Laba Kuartal-I 2023 Naik 27,4%, Kinerja BRI Kian Bertumbuh di Tengah Kondisi Resesi https://t.co/sEecRIAmvP",1,POSITIVE
5,Mon May 08 11:23:51 +0000 2023,"@MS_LuBI5 Pas pengumuman THR bilang ekonomi 2023 tidak pasti, kemungkinan resesi global. Alhamdulillah ternyata performa ekonomi Indonesia pasca lebaran lebih baik dr dugaan 😊😊",1,POSITIVE
6,Mon May 08 23:03:39 +0000 2023,Harga Minyak dunia naik lebih dari 2 persen pada penutupan Senin (8/5/2023) imbas dari berkurangnya kekhawatiran investor atas terjadinya resesi ekonomi di AS. https://t.co/BrELHeZCfI,1,POSITIVE
7,Sun May 07 11:37:01 +0000 2023,Masa Depan Ekonomi Indonesia di Tahun 2023: Potensi Resesi dan Dampaknya https://t.co/qmAOhFoy5v,-1,NEGATIVE
8,Fri May 12 06:06:53 +0000 2023,"New video by Bank Mandiri: Wealth Talk Vol 2 Tahun 2023: Ekonomi AS Tertatih di Ambang Resesi, What To Do Now? https://t.co/G3baTt3WcL",-1,NEGATIVE
9,Mon May 08 03:56:20 +0000 2023,Banyak yang anggap 2023 resesi karena cari pekerjaan sulit. \n\nPadahal sulit cari kerja (terutama di industry berbasis fake profit &amp; fake value) ≠ resesi ekonomi.,-1,NEGATIVE
10,Sat May 06 13:45:12 +0000 2023,Itu sebabnya saya heran mengapa tahun lalu begitu banyak gambaran suram tentang ekonomi Indonesia. Dari sejak Oktober tahun lalu saya katakan Indonesia tak akan resesi https://t.co/1z5h2UmByj,1,POSITIVE
11,Sun May 07 11:04:04 +0000 2023,Harga komoditas batu bara mengalami kontraksi sepanjang 2023 dengan menunjukkan tren pelemahan akibat resesi dan ekonomi hijau. https://t.co/9E5iiHa8cL,-1,NEGATIVE
12,Sun May 07 11:27:04 +0000 2023,Permintaan Batu Bara Berisiko Ditekan Resesi 2023 dan Doromgan Ekonomi Hijau https://t.co/jRL4aHJmCn,-1,NEGATIVE
14,Mon May 08 06:19:50 +0000 2023,Bank Indonesia - Jawa Timur menilai kinerja pertumbuhan ekonomi Jatim pada kuartal I/2023 masih tetap kuat meski sempat dikhawatirkan terdampak resesi global.\nhttps://t.co/2BTLEjSnAY,1,POSITIVE
15,Tue May 09 05:35:26 +0000 2023,"Selanjutnya, mereka menggalakkan gelombang PHK bagi para buruh. Berdasarkan data yang dihimpun Serikat Buruh Garteks, sebanyak 1500 pekerja terkena PHK dengan alasan resesi ekonomi. Kemudian dari data SPN setidaknya ada 360 anggota mereka yang terkena pada 2022-2023.",-1,NEGATIVE
16,Sun May 07 04:44:26 +0000 2023,"Sudah ya gak ush paranoid 2023 resesi..Kondisi ekonomi begitu cerah ceria seperti lagunya Eric Clapton\n\n “And then she asks me, Do you feel alright?""\nAnd I say, ""Yes, I feel wonderful tonight""""",1,POSITIVE
17,Fri May 05 02:30:02 +0000 2023,"BPS Catat Pertumbuhan Ekonomi Kuartal I-2023 Capai 5,03% https://t.co/mCroIo42FO #PertumbuhanEkonomi",1,POSITIVE
