content,score,Label
Saya berani bertaruh kalau sekarang omset wahyoo menurun. Ga seperti th.2022 atau th yg lalu.. di karenakan praturan baru....,1,Negatif
di wahyoo gak bisa daptar sendiri hrus lewat salles jdi mls belanja d sini lgi soalnya saya pernah samperin salles katanya jangan daftar sendiri biar bisa masukan referal salles nya kli y,1,Negatif
"Wahyoo makin kesini makin buruk, padahal sistem lama itu bagus bgt. Skrg jarang blanja karna ada min order. Ditambah susah buat verifikasi nya. Menyebalkan. Mau ambil dompet wahyoo jd gk bisa karna verifikasi gk ada. Parah wahyoo skrg.",1,Negatif
keren,5,Positif
Wahyoo sekarang sepertinya tidqk bisa untuk sahabat para kuliner kecil seperti saya Semenjak minimal belanja naik dari 200 dapat gratis ongkir kini menjadi 800 ribu minimal baru dapat gratis ongkir warung kecil seperti saya merasa sangat memberatkan Alhasil sqya sekarang males blanja Mending k toko atau warung sebelah 75 ribu aja mau antar gratis pula g pake ongkir,2,Negatif
Harga mahal... Biaya ongkir juga mahal... Dulu langganan.. sekarang pindah haluan,1,Negatif
Suka bgt... Apalagi jaman ada Pay later.. sayang aj skrg jadi d kenai ongkir... Kudu belanja banyak dulu baru bisa freeong...😌,5,Positif
Sampai detik ini saya belom belanja lagi Semenjak ada pembaharuan Belanja 800 Atau 1jt baru bisa gratis ongkir Barang banyak yang kosong Harga lumayan tinggi Layanan gratis ongkir hilang Voucher hadiah cuma begitu Gak tertarik lagi Udah 3bulan libur belanja Apakah ada yg seperti saya?,1,Negatif
Semakin kesini semakin mahal bgt..,1,Negatif
Aplikasi bagus sangat membantu,5,Positif
"Sangat memudahkan para UMKM dalam urusan berbelanja, sehingga kami para UMKM dapat fokus ke lain hal dalam pengembangan usaha kami, terima kasih Wahyoo...",5,Positif
Aplikasi yang sangat membantu kebutuhan memasak,5,Positif
"Makin mantab ini, makin berkembang dan jost",5,Positif
"Kualitas barang tidak bagus, setiap hari saya pesan di sini, harga mahal saya tidak ada masalah, tapi kalau udah harga mahal cabe pada busuk semua saya konfimasih ke pihak bersangkutan tidak ada kembalian dana atau apa pun. ada bail nya sebelom di kirim barang cek kualitas kita beli mahal buat kualitas produk, bukan beli mahal buat kualitas jelek",1,Negatif
Belanja jadi mudah🥰,5,Positif
Bagus & sangat membantu,5,Positif
Senang belanja di wahyoo,5,Positif
Sesimpel itu bertransaksi.. terimakasih sudah mempermudah..,5,Positif
"Produknya seger,kualitas bagus, pengiraman cepat, skrng bs pakai paylater, jadi nya bs buat nambah modal buat usaha.",5,Positif
"Aplikasi sangat membantu untuk UMKM seluruh Jabodetabek , sangat fast respon dan keren !",5,Positif
"Belanja hemat harga pas gak perlu kepasar sdh dapet harga suplier dan bahan baku lengkap,Barang dikirim sampe rumah gak khawatir macet,panas atw hujan.yang paling penting ada poin utk ditukar voucher belanja.Terima kasih WAHYOO😇",5,Positif
Bagus banget sangat membantu untuk kalangan menengah kebawah khususnya UMKM dan Warnas yang ada di Jabodetabek,5,Positif
"Sekarang sdh Jarang Belanja di Wahyoo,semenjak ada perubahan baru menimal Belanja 800rb untuk pengiriman Siang, Menimal 1juta untuk pengiriman Pagi, biaya ongkir 25rb - 35 ribu, Yg jadi pertanyaan kalau barang yg Kita butuhkan komplit Tidak masalah, biarpun Ongkirnya 50Ribu, ini Barang nya Juga seringkali kosong2 , Harga nya juga Jauh lebih Mahal2, Sblmnya sy belanja 110juta/3Bln , Sekarang 10jt /Bln, Jika Wahyoo tidak memperbaiki nya lama2 kehilangan pelanggan",1,Negatif
Wahyoo is the best bagi saya,5,Positif
"Cuma mau mau bilang kembalikan aja sistemnya sprti tahun 2022...sekarang ga bisa belanja sdikit,sedangkan kita warung kecil",1,Negatif
Barang2 diwahyoo mahal2 jadi malas blnja dusini,3,Negatif
"Wahyoo sekarang banyak ngecewain pelanggan.... Jadi males kalau order lagi, aturan kayak yg kemarin aja, jangan kayak begini... Kalau masih begini terus menerus lama² pailit karna konsumen pada kabur, tolong lah pelayanannya seperti kemarin aja... Maaf ya wahyoo... Udah gak sreg lagi ini saya...",1,Negatif
Beli belanjaan 300 rb udb kena ongkir lagi udh nggk kek dluu,1,Negatif
"Setiap ada pembaharuan semakin tidak lebih baik,,, ada biaya layanan dan ongkir s/d total 45rb... Belanja harus banyak baru gratis,,, dan vocer udh dihapusin... Klw tidak seperti semula pelanggan pada hilang,,, krna lebih baik belanja sendiri dripda bayar biaya layanan dn ongkir yg lumayan besar... Yang jualan bahan baku ada dimana-mana... Maaf sy dlu pelanggan setia, hampir setiap hari ada orderan, sekarang minat sy berkurang belanja disini",1,Negatif
"Udah gk mau belanja lgi,sekarang udah kena ongkir+biaya layanan,terima kasih",1,Negatif
Wahyoo dlu bukanlah yg sekarang,1,Negatif
Tanda tanda sudah mau bangkrut.. Poin buruan abisin keburu tutup,2,Negatif
Drivernya ramah bngt,5,Positif
Terima kasih barang sudah kami terima,5,Positif
Aplikasi wahyoo gak benar Giliran poin sudah banyak malah toko nya di tutup permanen biar gak bisa tukar poin,1,Negatif
Kecewa saya pakai aplikasi ini,1,Negatif
"Qris nya bermasalah,,tolong d perbaiki",1,Negatif
Ok punya,5,Positif
"Telur yg di kirim bnyak yg pecah&retak,busuk2 juga setelah di claim tdk mau di ganti,proses claim berbelit2 dan lama pakai banget...",1,Negatif
Barangnya kosong Mulu...,1,Negatif
Bijak,5,Positif
Ok,5,Positif
Belanja yg menyenangkan,5,Positif
Klau bisa ada cabe putihny,5,Positif
Harganya sangat jauh dari harga prasarananya mahal,1,Negatif
Keren😎🤟🏻,5,Positif
Msntap,5,Positif
Lumayan mebantu,5,Positif
Mantappp,5,Positif
Harga bersahabat,5,Positif
Ok,5,Positif
Mantap,5,Positif
Pesenan saya ngak dikirim,1,Negatif
