,content,score,Label,cleansing,normalized,Tokenization,Stopword_Removal,Stemmed
0,saya berani bertaruh kalau sekarang omset wahyoo menurun. ga seperti th.2022 atau th yg lalu.. di karenakan praturan baru....,1,Negatif,saya berani bertaruh kalau sekarang omset wahyoo menurun  ga seperti th      atau th yg lalu  di karenakan praturan baru ,saya berani bertaruh kalau sekarang omset wahyoo menurun tidak seperti th atau th yang lalu di karenakan praturan baru,"['saya', 'berani', 'bertaruh', 'kalau', 'sekarang', 'omset', 'wahyoo', 'menurun', 'tidak', 'seperti', 'th', 'atau', 'th', 'yang', 'lalu', 'di', 'karenakan', 'praturan', 'baru']","['berani', 'bertaruh', 'omset', 'wahyoo', 'menurun', 'th', 'th', 'karenakan', 'praturan']",berani taruh omset wahyoo turun th th karena praturan
1,di wahyoo gak bisa daptar sendiri hrus lewat salles jdi mls belanja d sini lgi soalnya saya pernah samperin salles katanya jangan daftar sendiri biar bisa masukan referal salles nya kli y,1,Negatif,di wahyoo gak bisa daptar sendiri hrus lewat salles jdi mls belanja d sini lgi soalnya saya pernah samperin salles katanya jangan daftar sendiri biar bisa masukan referal salles nya kli y,di wahyoo tidak bisa daptar sendiri harus lewat salles jadi malas belanja di sini lagi soalnya saya pernah samperin salles katanya jangan daftar sendiri biar bisa masukan referal salles nya kli kenapa,"['di', 'wahyoo', 'tidak', 'bisa', 'daptar', 'sendiri', 'harus', 'lewat', 'salles', 'jadi', 'malas', 'belanja', 'di', 'sini', 'lagi', 'soalnya', 'saya', 'pernah', 'samperin', 'salles', 'katanya', 'jangan', 'daftar', 'sendiri', 'biar', 'bisa', 'masukan', 'referal', 'salles', 'nya', 'kli', 'kenapa']","['wahyoo', 'daptar', 'salles', 'malas', 'belanja', 'samperin', 'salles', 'daftar', 'biar', 'masukan', 'referal', 'salles', 'nya', 'kli']",wahyoo daptar salles malas belanja samperin salles daftar biar masuk referal salles nya kli
2,"wahyoo makin kesini makin buruk, padahal sistem lama itu bagus bgt. skrg jarang blanja karna ada min order. ditambah susah buat verifikasi nya. menyebalkan. mau ambil dompet wahyoo jd gk bisa karna verifikasi gk ada. parah wahyoo skrg.",1,Negatif,wahyoo makin kesini makin buruk  padahal sistem lama itu bagus bgt  skrg jarang blanja karna ada min order  ditambah susah buat verifikasi nya  menyebalkan  mau ambil dompet wahyoo jd gk bisa karna verifikasi gk ada  parah wahyoo skrg ,wahyoo makin kesini makin buruk padahal sistem lama itu bagus banget sekarang jarang blanja karena ada min order ditambah susah buat verifikasi nya menyebalkan mau ambil dompet wahyoo jadi tidak bisa karena verifikasi tidak ada parah wahyoo sekarang,"['wahyoo', 'makin', 'kesini', 'makin', 'buruk', 'padahal', 'sistem', 'lama', 'itu', 'bagus', 'banget', 'sekarang', 'jarang', 'blanja', 'karena', 'ada', 'min', 'order', 'ditambah', 'susah', 'buat', 'verifikasi', 'nya', 'menyebalkan', 'mau', 'ambil', 'dompet', 'wahyoo', 'jadi', 'tidak', 'bisa', 'karena', 'verifikasi', 'tidak', 'ada', 'parah', 'wahyoo', 'sekarang']","['wahyoo', 'kesini', 'buruk', 'sistem', 'bagus', 'banget', 'jarang', 'blanja', 'min', 'order', 'ditambah', 'susah', 'verifikasi', 'nya', 'menyebalkan', 'ambil', 'dompet', 'wahyoo', 'verifikasi', 'parah', 'wahyoo']",wahyoo kesini buruk sistem bagus banget jarang blanja min order tambah susah verifikasi nya sebal ambil dompet wahyoo verifikasi parah wahyoo
3,keren,5,Positif,keren,keren,['keren'],['keren'],keren
4,wahyoo sekarang sepertinya tidqk bisa untuk sahabat para kuliner kecil seperti saya semenjak minimal belanja naik dari 200 dapat gratis ongkir kini menjadi 800 ribu minimal baru dapat gratis ongkir warung kecil seperti saya merasa sangat memberatkan alhasil sqya sekarang males blanja mending k toko atau warung sebelah 75 ribu aja mau antar gratis pula g pake ongkir,2,Negatif,wahyoo sekarang sepertinya tidqk bisa untuk sahabat para kuliner kecil seperti saya semenjak minimal belanja naik dari     dapat gratis ongkir kini menjadi     ribu minimal baru dapat gratis ongkir warung kecil seperti saya merasa sangat memberatkan alhasil sqya sekarang males blanja mending k toko atau warung sebelah    ribu aja mau antar gratis pula g pake ongkir,wahyoo sekarang sepertinya tidqk bisa untuk sahabat para kuliner kecil seperti saya semenjak minimal belanja naik dari dapat gratis ongkos kirim kini menjadi ribu minimal baru dapat gratis ongkos kirim warung kecil seperti saya merasa sangat memberatkan alhasil sqya sekarang malas blanja lebih baik ke toko atau warung sebelah ribu saja mau antar gratis pula tidak pakai ongkos kirim,"['wahyoo', 'sekarang', 'sepertinya', 'tidqk', 'bisa', 'untuk', 'sahabat', 'para', 'kuliner', 'kecil', 'seperti', 'saya', 'semenjak', 'minimal', 'belanja', 'naik', 'dari', 'dapat', 'gratis', 'ongkos', 'kirim', 'kini', 'menjadi', 'ribu', 'minimal', 'baru', 'dapat', 'gratis', 'ongkos', 'kirim', 'warung', 'kecil', 'seperti', 'saya', 'merasa', 'sangat', 'memberatkan', 'alhasil', 'sqya', 'sekarang', 'malas', 'blanja', 'lebih', 'baik', 'ke', 'toko', 'atau', 'warung', 'sebelah', 'ribu', 'saja', 'mau', 'antar', 'gratis', 'pula', 'tidak', 'pakai', 'ongkos', 'kirim']","['wahyoo', 'tidqk', 'sahabat', 'kuliner', 'semenjak', 'minimal', 'belanja', 'gratis', 'ongkos', 'kirim', 'ribu', 'minimal', 'gratis', 'ongkos', 'kirim', 'warung', 'memberatkan', 'alhasil', 'sqya', 'malas', 'blanja', 'toko', 'warung', 'sebelah', 'ribu', 'gratis', 'pakai', 'ongkos', 'kirim']",wahyoo tidqk sahabat kuliner semenjak minimal belanja gratis ongkos kirim ribu minimal gratis ongkos kirim warung berat alhasil sqya malas blanja toko warung belah ribu gratis pakai ongkos kirim
5,harga mahal... biaya ongkir juga mahal... dulu langganan.. sekarang pindah haluan,1,Negatif,harga mahal  biaya ongkir juga mahal  dulu langganan  sekarang pindah haluan,harga mahal biaya ongkos kirim juga mahal dulu langganan sekarang pindah haluan,"['harga', 'mahal', 'biaya', 'ongkos', 'kirim', 'juga', 'mahal', 'dulu', 'langganan', 'sekarang', 'pindah', 'haluan']","['harga', 'mahal', 'biaya', 'ongkos', 'kirim', 'mahal', 'langganan', 'pindah', 'haluan']",harga mahal biaya ongkos kirim mahal langgan pindah haluan
6,suka bgt... apalagi jaman ada pay later.. sayang aj skrg jadi d kenai ongkir... kudu belanja banyak dulu baru bisa freeong...😌,5,Positif,suka bgt  apalagi jaman ada pay later  sayang aj skrg jadi d kenai ongkir  kudu belanja banyak dulu baru bisa freeong ,suka banget apalagi jaman ada pay later sayang saja sekarang jadi di kenai ongkos kirim harus belanja banyak dulu baru bisa freeong,"['suka', 'banget', 'apalagi', 'jaman', 'ada', 'pay', 'later', 'sayang', 'saja', 'sekarang', 'jadi', 'di', 'kenai', 'ongkos', 'kirim', 'harus', 'belanja', 'banyak', 'dulu', 'baru', 'bisa', 'freeong']","['suka', 'banget', 'jaman', 'pay', 'later', 'sayang', 'kenai', 'ongkos', 'kirim', 'belanja', 'freeong']",suka banget jaman pay later sayang kena ongkos kirim belanja freeong
7,sampai detik ini saya belom belanja lagi semenjak ada pembaharuan belanja 800 atau 1jt baru bisa gratis ongkir barang banyak yang kosong harga lumayan tinggi layanan gratis ongkir hilang voucher hadiah cuma begitu gak tertarik lagi udah 3bulan libur belanja apakah ada yg seperti saya?,1,Negatif,sampai detik ini saya belom belanja lagi semenjak ada pembaharuan belanja     atau  jt baru bisa gratis ongkir barang banyak yang kosong harga lumayan tinggi layanan gratis ongkir hilang voucher hadiah cuma begitu gak tertarik lagi udah  bulan libur belanja apakah ada yg seperti saya ,sampai detik ini saya belum belanja lagi semenjak ada pembaharuan belanja atau jt baru bisa gratis ongkos kirim barang banyak yang kosong harga lumayan tinggi layanan gratis ongkos kirim hilang voucher hadiah cuma begitu tidak tertarik lagi sudah bulan libur belanja apakah ada yang seperti saya,"['sampai', 'detik', 'ini', 'saya', 'belum', 'belanja', 'lagi', 'semenjak', 'ada', 'pembaharuan', 'belanja', 'atau', 'jt', 'baru', 'bisa', 'gratis', 'ongkos', 'kirim', 'barang', 'banyak', 'yang', 'kosong', 'harga', 'lumayan', 'tinggi', 'layanan', 'gratis', 'ongkos', 'kirim', 'hilang', 'voucher', 'hadiah', 'cuma', 'begitu', 'tidak', 'tertarik', 'lagi', 'sudah', 'bulan', 'libur', 'belanja', 'apakah', 'ada', 'yang', 'seperti', 'saya']","['detik', 'belanja', 'semenjak', 'pembaharuan', 'belanja', 'jt', 'gratis', 'ongkos', 'kirim', 'barang', 'kosong', 'harga', 'lumayan', 'layanan', 'gratis', 'ongkos', 'kirim', 'hilang', 'voucher', 'hadiah', 'tertarik', 'libur', 'belanja']",detik belanja semenjak baharu belanja jt gratis ongkos kirim barang kosong harga lumayan layan gratis ongkos kirim hilang voucher hadiah tarik libur belanja
8,semakin kesini semakin mahal bgt..,1,Negatif,semakin kesini semakin mahal bgt ,semakin kesini semakin mahal banget,"['semakin', 'kesini', 'semakin', 'mahal', 'banget']","['kesini', 'mahal', 'banget']",kesini mahal banget
9,aplikasi bagus sangat membantu,5,Positif,aplikasi bagus sangat membantu,aplikasi bagus sangat membantu,"['aplikasi', 'bagus', 'sangat', 'membantu']","['aplikasi', 'bagus', 'membantu']",aplikasi bagus bantu
